image,voxel volume,voxel size,image volume,image size
BraTS2021_00048t1,1,"[1.0, 1.0, 1.0]",1727405,"(240.0, 240.0, 155.0)"
BraTS2021_00048t1ce,1,"[1.0, 1.0, 1.0]",1727405,"(240.0, 240.0, 155.0)"
BraTS2021_00048t2,1,"[1.0, 1.0, 1.0]",1727405,"(240.0, 240.0, 155.0)"
BraTS2021_00049flair,1,"[1.0, 1.0, 1.0]",1393310,"(240.0, 240.0, 155.0)"
BraTS2021_00049t1,1,"[1.0, 1.0, 1.0]",1393310,"(240.0, 240.0, 155.0)"
BraTS2021_00049t1ce,1,"[1.0, 1.0, 1.0]",1393310,"(240.0, 240.0, 155.0)"
BraTS2021_00049t2,1,"[1.0, 1.0, 1.0]",1393310,"(240.0, 240.0, 155.0)"
BraTS2021_00051flair,1,"[1.0, 1.0, 1.0]",1393771,"(240.0, 240.0, 155.0)"
BraTS2021_00051t1,1,"[1.0, 1.0, 1.0]",1393702,"(240.0, 240.0, 155.0)"
BraTS2021_00051t1ce,1,"[1.0, 1.0, 1.0]",1588178,"(240.0, 240.0, 155.0)"
BraTS2021_00051t2,1,"[1.0, 1.0, 1.0]",1394022,"(240.0, 240.0, 155.0)"
BraTS2021_00052flair,1,"[1.0, 1.0, 1.0]",1710288,"(240.0, 240.0, 155.0)"
BraTS2021_00052t1,1,"[1.0, 1.0, 1.0]",1710288,"(240.0, 240.0, 155.0)"
BraTS2021_00052t1ce,1,"[1.0, 1.0, 1.0]",1710288,"(240.0, 240.0, 155.0)"
BraTS2021_00052t2,1,"[1.0, 1.0, 1.0]",1710288,"(240.0, 240.0, 155.0)"
BraTS2021_00053flair,1,"[1.0, 1.0, 1.0]",2008083,"(240.0, 240.0, 155.0)"
BraTS2021_00053t1,1,"[1.0, 1.0, 1.0]",2008083,"(240.0, 240.0, 155.0)"
BraTS2021_00053t1ce,1,"[1.0, 1.0, 1.0]",2008083,"(240.0, 240.0, 155.0)"
BraTS2021_00053t2,1,"[1.0, 1.0, 1.0]",2008082,"(240.0, 240.0, 155.0)"
BraTS2021_00054flair,1,"[1.0, 1.0, 1.0]",1307956,"(240.0, 240.0, 155.0)"
BraTS2021_00054t1,1,"[1.0, 1.0, 1.0]",1307938,"(240.0, 240.0, 155.0)"
BraTS2021_00054t1ce,1,"[1.0, 1.0, 1.0]",1307956,"(240.0, 240.0, 155.0)"
BraTS2021_00054t2,1,"[1.0, 1.0, 1.0]",1307956,"(240.0, 240.0, 155.0)"
BraTS2021_00056flair,1,"[1.0, 1.0, 1.0]",1423504,"(240.0, 240.0, 155.0)"
BraTS2021_00056t1,1,"[1.0, 1.0, 1.0]",1423504,"(240.0, 240.0, 155.0)"
BraTS2021_00056t1ce,1,"[1.0, 1.0, 1.0]",1423504,"(240.0, 240.0, 155.0)"
BraTS2021_00056t2,1,"[1.0, 1.0, 1.0]",1423504,"(240.0, 240.0, 155.0)"
BraTS2021_00058flair,1,"[1.0, 1.0, 1.0]",1330520,"(240.0, 240.0, 155.0)"
BraTS2021_00058t1,1,"[1.0, 1.0, 1.0]",1330518,"(240.0, 240.0, 155.0)"
BraTS2021_00058t1ce,1,"[1.0, 1.0, 1.0]",1330520,"(240.0, 240.0, 155.0)"
BraTS2021_00058t2,1,"[1.0, 1.0, 1.0]",1330519,"(240.0, 240.0, 155.0)"
BraTS2021_00059flair,1,"[1.0, 1.0, 1.0]",1432242,"(240.0, 240.0, 155.0)"
BraTS2021_00059t1,1,"[1.0, 1.0, 1.0]",1432242,"(240.0, 240.0, 155.0)"
BraTS2021_00059t1ce,1,"[1.0, 1.0, 1.0]",1432242,"(240.0, 240.0, 155.0)"
BraTS2021_00059t2,1,"[1.0, 1.0, 1.0]",1432241,"(240.0, 240.0, 155.0)"
BraTS2021_00060flair,1,"[1.0, 1.0, 1.0]",1822333,"(240.0, 240.0, 155.0)"
BraTS2021_00060t1,1,"[1.0, 1.0, 1.0]",1822333,"(240.0, 240.0, 155.0)"
BraTS2021_00060t1ce,1,"[1.0, 1.0, 1.0]",1822333,"(240.0, 240.0, 155.0)"
BraTS2021_00060t2,1,"[1.0, 1.0, 1.0]",1822332,"(240.0, 240.0, 155.0)"
BraTS2021_00061flair,1,"[1.0, 1.0, 1.0]",1648872,"(240.0, 240.0, 155.0)"
BraTS2021_00061t1,1,"[1.0, 1.0, 1.0]",1648872,"(240.0, 240.0, 155.0)"
BraTS2021_00061t1ce,1,"[1.0, 1.0, 1.0]",1648872,"(240.0, 240.0, 155.0)"
BraTS2021_00061t2,1,"[1.0, 1.0, 1.0]",1648868,"(240.0, 240.0, 155.0)"
BraTS2021_00062flair,1,"[1.0, 1.0, 1.0]",1484424,"(240.0, 240.0, 155.0)"
BraTS2021_00062t1,1,"[1.0, 1.0, 1.0]",1484424,"(240.0, 240.0, 155.0)"
BraTS2021_00062t1ce,1,"[1.0, 1.0, 1.0]",1484424,"(240.0, 240.0, 155.0)"
BraTS2021_00062t2,1,"[1.0, 1.0, 1.0]",1484424,"(240.0, 240.0, 155.0)"
BraTS2021_00063flair,1,"[1.0, 1.0, 1.0]",1724253,"(240.0, 240.0, 155.0)"
BraTS2021_00063t1,1,"[1.0, 1.0, 1.0]",1724253,"(240.0, 240.0, 155.0)"
BraTS2021_00063t1ce,1,"[1.0, 1.0, 1.0]",1724253,"(240.0, 240.0, 155.0)"
BraTS2021_00063t2,1,"[1.0, 1.0, 1.0]",1724253,"(240.0, 240.0, 155.0)"
BraTS2021_00064flair,1,"[1.0, 1.0, 1.0]",1755886,"(240.0, 240.0, 155.0)"
BraTS2021_00064t1,1,"[1.0, 1.0, 1.0]",1755886,"(240.0, 240.0, 155.0)"
BraTS2021_00064t1ce,1,"[1.0, 1.0, 1.0]",1755886,"(240.0, 240.0, 155.0)"
BraTS2021_00064t2,1,"[1.0, 1.0, 1.0]",1755885,"(240.0, 240.0, 155.0)"
BraTS2021_00066flair,1,"[1.0, 1.0, 1.0]",1442141,"(240.0, 240.0, 155.0)"
BraTS2021_00066t1,1,"[1.0, 1.0, 1.0]",1442141,"(240.0, 240.0, 155.0)"
BraTS2021_00066t1ce,1,"[1.0, 1.0, 1.0]",1442141,"(240.0, 240.0, 155.0)"
BraTS2021_00066t2,1,"[1.0, 1.0, 1.0]",1442141,"(240.0, 240.0, 155.0)"
BraTS2021_00068flair,1,"[1.0, 1.0, 1.0]",1215168,"(240.0, 240.0, 155.0)"
BraTS2021_00068t1,1,"[1.0, 1.0, 1.0]",1215168,"(240.0, 240.0, 155.0)"
BraTS2021_00068t1ce,1,"[1.0, 1.0, 1.0]",1215168,"(240.0, 240.0, 155.0)"
BraTS2021_00068t2,1,"[1.0, 1.0, 1.0]",1215168,"(240.0, 240.0, 155.0)"
BraTS2021_00070flair,1,"[1.0, 1.0, 1.0]",1658370,"(240.0, 240.0, 155.0)"
BraTS2021_00070t1,1,"[1.0, 1.0, 1.0]",1658370,"(240.0, 240.0, 155.0)"
BraTS2021_00070t1ce,1,"[1.0, 1.0, 1.0]",1658370,"(240.0, 240.0, 155.0)"
BraTS2021_00070t2,1,"[1.0, 1.0, 1.0]",1658370,"(240.0, 240.0, 155.0)"
BraTS2021_00071flair,1,"[1.0, 1.0, 1.0]",1670906,"(240.0, 240.0, 155.0)"
BraTS2021_00071t1,1,"[1.0, 1.0, 1.0]",1670906,"(240.0, 240.0, 155.0)"
BraTS2021_00071t1ce,1,"[1.0, 1.0, 1.0]",1670906,"(240.0, 240.0, 155.0)"
BraTS2021_00071t2,1,"[1.0, 1.0, 1.0]",1670906,"(240.0, 240.0, 155.0)"
BraTS2021_00072flair,1,"[1.0, 1.0, 1.0]",1684136,"(240.0, 240.0, 155.0)"
BraTS2021_00072t1,1,"[1.0, 1.0, 1.0]",1684136,"(240.0, 240.0, 155.0)"
BraTS2021_00072t1ce,1,"[1.0, 1.0, 1.0]",1684136,"(240.0, 240.0, 155.0)"
BraTS2021_00072t2,1,"[1.0, 1.0, 1.0]",1684136,"(240.0, 240.0, 155.0)"
BraTS2021_00074flair,1,"[1.0, 1.0, 1.0]",1784647,"(240.0, 240.0, 155.0)"
BraTS2021_00074t1,1,"[1.0, 1.0, 1.0]",1784637,"(240.0, 240.0, 155.0)"
BraTS2021_00074t1ce,1,"[1.0, 1.0, 1.0]",1784647,"(240.0, 240.0, 155.0)"
BraTS2021_00074t2,1,"[1.0, 1.0, 1.0]",1784647,"(240.0, 240.0, 155.0)"
BraTS2021_00077flair,1,"[1.0, 1.0, 1.0]",1676376,"(240.0, 240.0, 155.0)"
BraTS2021_00077t1,1,"[1.0, 1.0, 1.0]",1676375,"(240.0, 240.0, 155.0)"
BraTS2021_00077t1ce,1,"[1.0, 1.0, 1.0]",1676376,"(240.0, 240.0, 155.0)"
BraTS2021_00077t2,1,"[1.0, 1.0, 1.0]",1676376,"(240.0, 240.0, 155.0)"
BraTS2021_00078flair,1,"[1.0, 1.0, 1.0]",1565170,"(240.0, 240.0, 155.0)"
BraTS2021_00078t1,1,"[1.0, 1.0, 1.0]",1565170,"(240.0, 240.0, 155.0)"
BraTS2021_00078t1ce,1,"[1.0, 1.0, 1.0]",1565170,"(240.0, 240.0, 155.0)"
BraTS2021_00078t2,1,"[1.0, 1.0, 1.0]",1565170,"(240.0, 240.0, 155.0)"
BraTS2021_00081flair,1,"[1.0, 1.0, 1.0]",1319750,"(240.0, 240.0, 155.0)"
BraTS2021_00081t1,1,"[1.0, 1.0, 1.0]",1319750,"(240.0, 240.0, 155.0)"
BraTS2021_00081t1ce,1,"[1.0, 1.0, 1.0]",1319750,"(240.0, 240.0, 155.0)"
BraTS2021_00081t2,1,"[1.0, 1.0, 1.0]",1319749,"(240.0, 240.0, 155.0)"
BraTS2021_00084flair,1,"[1.0, 1.0, 1.0]",1276434,"(240.0, 240.0, 155.0)"
BraTS2021_00084t1,1,"[1.0, 1.0, 1.0]",1276434,"(240.0, 240.0, 155.0)"
BraTS2021_00084t1ce,1,"[1.0, 1.0, 1.0]",1276434,"(240.0, 240.0, 155.0)"
BraTS2021_00084t2,1,"[1.0, 1.0, 1.0]",1276434,"(240.0, 240.0, 155.0)"
BraTS2021_00085flair,1,"[1.0, 1.0, 1.0]",1627959,"(240.0, 240.0, 155.0)"
BraTS2021_00085t1,1,"[1.0, 1.0, 1.0]",1627959,"(240.0, 240.0, 155.0)"
BraTS2021_00085t1ce,1,"[1.0, 1.0, 1.0]",1627959,"(240.0, 240.0, 155.0)"
BraTS2021_00085t2,1,"[1.0, 1.0, 1.0]",1627959,"(240.0, 240.0, 155.0)"
BraTS2021_00087flair,1,"[1.0, 1.0, 1.0]",1440860,"(240.0, 240.0, 155.0)"
BraTS2021_00087t1,1,"[1.0, 1.0, 1.0]",1440860,"(240.0, 240.0, 155.0)"
BraTS2021_00087t1ce,1,"[1.0, 1.0, 1.0]",1440860,"(240.0, 240.0, 155.0)"
BraTS2021_00087t2,1,"[1.0, 1.0, 1.0]",1440859,"(240.0, 240.0, 155.0)"
BraTS2021_00088flair,1,"[1.0, 1.0, 1.0]",1361379,"(240.0, 240.0, 155.0)"
BraTS2021_00088t1,1,"[1.0, 1.0, 1.0]",1361379,"(240.0, 240.0, 155.0)"
BraTS2021_00088t1ce,1,"[1.0, 1.0, 1.0]",1361379,"(240.0, 240.0, 155.0)"
BraTS2021_00088t2,1,"[1.0, 1.0, 1.0]",1361379,"(240.0, 240.0, 155.0)"
BraTS2021_00089flair,1,"[1.0, 1.0, 1.0]",1349702,"(240.0, 240.0, 155.0)"
BraTS2021_00089t1,1,"[1.0, 1.0, 1.0]",1349702,"(240.0, 240.0, 155.0)"
BraTS2021_00089t1ce,1,"[1.0, 1.0, 1.0]",1349702,"(240.0, 240.0, 155.0)"
BraTS2021_00089t2,1,"[1.0, 1.0, 1.0]",1349698,"(240.0, 240.0, 155.0)"
BraTS2021_00090flair,1,"[1.0, 1.0, 1.0]",1497495,"(240.0, 240.0, 155.0)"
BraTS2021_00090t1,1,"[1.0, 1.0, 1.0]",1497495,"(240.0, 240.0, 155.0)"
BraTS2021_00090t1ce,1,"[1.0, 1.0, 1.0]",1497495,"(240.0, 240.0, 155.0)"
BraTS2021_00090t2,1,"[1.0, 1.0, 1.0]",1497491,"(240.0, 240.0, 155.0)"
BraTS2021_00094flair,1,"[1.0, 1.0, 1.0]",1676842,"(240.0, 240.0, 155.0)"
BraTS2021_00094t1,1,"[1.0, 1.0, 1.0]",1676842,"(240.0, 240.0, 155.0)"
BraTS2021_00094t1ce,1,"[1.0, 1.0, 1.0]",1676842,"(240.0, 240.0, 155.0)"
BraTS2021_00094t2,1,"[1.0, 1.0, 1.0]",1676842,"(240.0, 240.0, 155.0)"
BraTS2021_00095flair,1,"[1.0, 1.0, 1.0]",1684214,"(240.0, 240.0, 155.0)"
BraTS2021_00095t1,1,"[1.0, 1.0, 1.0]",1684214,"(240.0, 240.0, 155.0)"
BraTS2021_00095t1ce,1,"[1.0, 1.0, 1.0]",1684214,"(240.0, 240.0, 155.0)"
BraTS2021_00095t2,1,"[1.0, 1.0, 1.0]",1684214,"(240.0, 240.0, 155.0)"
BraTS2021_00096flair,1,"[1.0, 1.0, 1.0]",1740314,"(240.0, 240.0, 155.0)"
BraTS2021_00096t1,1,"[1.0, 1.0, 1.0]",1740252,"(240.0, 240.0, 155.0)"
BraTS2021_00096t1ce,1,"[1.0, 1.0, 1.0]",1740314,"(240.0, 240.0, 155.0)"
BraTS2021_00096t2,1,"[1.0, 1.0, 1.0]",1740311,"(240.0, 240.0, 155.0)"
BraTS2021_00097flair,1,"[1.0, 1.0, 1.0]",1432027,"(240.0, 240.0, 155.0)"
BraTS2021_00097t1,1,"[1.0, 1.0, 1.0]",1432027,"(240.0, 240.0, 155.0)"
BraTS2021_00097t1ce,1,"[1.0, 1.0, 1.0]",1432027,"(240.0, 240.0, 155.0)"
BraTS2021_00097t2,1,"[1.0, 1.0, 1.0]",1432027,"(240.0, 240.0, 155.0)"
BraTS2021_00098flair,1,"[1.0, 1.0, 1.0]",1417079,"(240.0, 240.0, 155.0)"
BraTS2021_00098t1,1,"[1.0, 1.0, 1.0]",1417079,"(240.0, 240.0, 155.0)"
BraTS2021_00098t1ce,1,"[1.0, 1.0, 1.0]",1417079,"(240.0, 240.0, 155.0)"
BraTS2021_00098t2,1,"[1.0, 1.0, 1.0]",1417079,"(240.0, 240.0, 155.0)"
